canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
86,sku:LEGACY-YARN,LEGACY-YARN,Legacy Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
87,sku:LEGACY-YARN-UNISEX,LEGACY-YARN-UNISEX,Unisex - Legacy Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
88,sku:MOUNTAINS-YARN,MOUNTAINS-YARN,Mountains White Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
89,sku:MOUNTAINS-YARN-UNISEX,MOUNTAINS-YARN-UNISEX,Unisex - Mountains White Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
90,sku:ZW460,ZW460,Men's Outdoor L/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Long Sleeve,Workwear & Hi-Vis,ready,,
91,sku:ZW765,ZW765,Women's Outdoor Short Sleeve Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Short Sleeve,Workwear & Hi-Vis,ready,,
92,sku:ZW468,ZW468,Men's Hi Vis Outdoor L/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Long Sleeve,Workwear & Hi-Vis,ready,,
93,sku:ZW465,ZW465,Men's Outdoor S/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Short Sleeve,Workwear & Hi-Vis,ready,,
94,sku:ZW760,ZW760,Women's Outdoor L/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Long Sleeve,Workwear & Hi-Vis,ready,,
95,sku:ZW121,ZW121,Men's Lightweight Tradie L/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Long Sleeve,Workwear & Hi-Vis | Automotive,ready,,
96,sku:ZW120,ZW120,Men's Light Weight Tradie S/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Short Sleeve,Workwear & Hi-Vis | Automotive,ready,,
97,sku:ZWL120,ZWL120,Women's Lightweight Tradie S/S Shirt,Hi Vis & Workwear | Shirts,Workwear & Hi-vis,Workwear | Shirts | Short Sleeve,Workwear & Hi-Vis | Automotive,ready,,
98,sku:SW19A,SW19A,Hi-Vis Reversible Safety Vest With 3m Tapes,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Safety Vests,Workwear & Hi-Vis,ready,,
99,sku:6HVSZ,6HVSZ,Hi Vis Zip Safety Vest,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Safety Vests,Workwear & Hi-Vis,ready,,
100,sku:6HVSV,6HVSV,Hi Vis Safety Vest,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Safety Vests,Workwear & Hi-Vis,ready,,
101,sku:ZP820,ZP820,Men's Streetworx Heritage Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
102,sku:ZV245,ZV245,Unisex Streetworx Hooded Puffer Vest,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Vests,Workwear & Hi-Vis,ready,,
103,sku:ZJ240,ZJ240,Unisex Streetworx Hooded Puffer Jacket,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Jackets,Workwear & Hi-Vis,ready,,
104,sku:ZT210,ZT210,Unisex Streetworx Lightweight 1/4 Zip Polar Fleece,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Jackets,Workwear & Hi-Vis,ready,,
105,sku:ZT867,ZT867,Unisex Streetworx Water Resistant Hoodie With Segmented Tape,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Jackets,Workwear & Hi-Vis,ready,,
106,sku:ZS822,ZS822,Men's Streetworx Heritage Short,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Shorts,Workwear & Hi-Vis,ready,,
107,sku:ZP320,ZP320,Men's Streetworx Stretch Pant Non-Cuffed,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
108,sku:ZMBEAN,ZMBEAN,Unisex Streetworx Beanie,Hi Vis & Workwear,Workwear & Hi-vis,Hi Vis | Workwear,Workwear & Hi-Vis,ready,,
109,sku:ZP750,ZP750,Women's Streetworx Tough Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
110,sku:BPC6008,BPC6008,Stretch Cotton Drill Cargo Pants,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
