canonical_index,identity_key,sku,name,supplier,fabric,size_range,gender,source_sets,source_row_count,actual_colors,color_tags,source_extra_filters,source_industries,name_variants,gender_variants,has_conflict,final_category,category_basis,final_subcategories,approved_industries,dropped_source_industries,industry_status,industry_blocker,taxonomy_notes
341,sku:34-652,34-652,Men's Black Lace Up Derby Shoe,Rollie,,4 - 13,Men's,Shoes,1,Black,Black,,Retail | Government | Services | Corporate,Men's Black Lace Up Derby Shoe,Men's,False,Shoes,Shoes source set,,Retail | Government | Corporate,Services,ready,,
342,sku:45-627,45-627,Men's Brown Elastic Sided Boot,Oliver Bootmakers,,5 - 14,Men's,Shoes,1,Brown,Brown,,Hi Vis & Workwear,Men's Brown Elastic Sided Boot,Men's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
343,sku:ROLLIE-CLUB,ROLLIE-CLUB,Men's Courtclub,Rollie,,41-48,Men's,Shoes,1,Black,Black,,Retail | Government | Services | Corporate,Men's Courtclub,Men's,False,Shoes,Shoes source set,,Retail | Government | Corporate,Services,ready,,
344,sku:ROLLIE-DERBY,ROLLIE-DERBY,Men’s Derby,Rollie,,41 - 48,Men's,Shoes,1,All Black | Vintage Brown | Vintage cognac,Black | Brown,,Retail | Government | Services | Corporate,Men’s Derby,Men's,False,Shoes,Shoes source set,,Retail | Government | Corporate,Services,ready,,
345,sku:SC01535,SC01535,Women's Court Club,Rollie,,35 - 43,Women's,Shoes,1,Black | White,Black | White,,Retail | Government | Services | Corporate,Women's Court Club,Women's,False,Shoes,Shoes source set,,Retail | Government | Corporate,Services,ready,,
346,sku:SC00129,SC00129,Women's Derby City,Rollie,,35 - 43,Women's,Shoes,1,Black,Black,,Retail | Government | Services | Corporate,Women's Derby City,Women's,False,Shoes,Shoes source set,,Retail | Government | Corporate,Services,ready,,
347,sku:261,261,Men's Zipsider Boot,Oliver Bootmakers,,3 - 14,Men's,Shoes,1,Black | Wheat | Light Brown,Black | Stone | Brown,,Hi Vis & Workwear,Men's Zipsider Boot,Men's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
348,sku:240,240,Elastic Sided Boot,Oliver Bootmakers,,5 - 14,Unisex,Shoes,1,Black/Brown | tan,Black | Brown,,Hi Vis & Workwear,Elastic Sided Boot,Unisex,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
349,sku:RBL068M,RBL068M,Men's Arden Blazer,Fashion Biz,"98% Cotton, 2% Elastane",87R - 127R,Men's,Suiting,1,Navy Melange,Navy,Suiting | Blazers,Corporate | Government | Services,Men's Arden Blazer,Men's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
350,sku:RBL068L,RBL068L,Arden Blazer,Fashion Biz,"98% Cotton, 2% Elastane",4 - 26,Women's,Suiting,1,Navy Melange,Navy,Suiting | Blazers,Corporate | Government | Services,Arden Blazer,Women's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
351,sku:80717,80717,Men's Siena 2 Button Jacket,Fashion Biz,"79% Polyester, 17% Viscose, 4% Elastane",87R - 142R,Men's,Suiting,1,Black | Marine,Black | Blue,Suiting | Blazers,Corporate | Government | Services,Men's Siena 2 Button Jacket,Men's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
352,sku:1765WJ,1765WJ,Women's Washable One Button Jacket,Gloweave,Shell: 77% Polyester/21% Viscose/2% Spandex Lining & Pocketing: 100% Polyester,4 - 24,Women's,Suiting,2,Black | Charcoal | Navy,Black | Charcoal | Navy,Suiting | Blazers,Corporate | Government | Services,Women's Washable One Button Jacket,Women's,True,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
353,sku:BS732L,BS732L,Ladies Bianca Jacket,Fashion Biz,"62% Polyester, 35% Viscose, 3% Elastane",4 - 26,Women's,Suiting,1,Black | Navy,Black | Navy,Suiting | Blazers,Corporate | Government | Services,Ladies Bianca Jacket,Women's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
354,sku:1728MJ,1728MJ,Men's Washable Jacket,Gloweave,"Shell: 77% Polyester, 21% Viscose, 2% Spandex Lining & Pocketing: 100% Polyester",87 - 137,Men's,Suiting,1,Black | Charcoal | Navy,Black | Charcoal | Navy,Suiting | Blazers,Corporate | Government | Services,Men's Washable Jacket,Men's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Blazers,Corporate | Government,Services,ready,,
355,sku:1725WSK,1725WSK,Women's Washable 'A' Line Skirt,Gloweave,Shell: 77% Polyester/21% Viscose/2% Spandex Lining & Pocketing: 100% Polyester Mechanical Stretch,6 -26,Women's,Suiting,1,Black | Charcoal | Navy,Black | Charcoal | Navy,Suiting | Skirts | Bottoms,Corporate | Government | Services,Women's Washable 'A' Line Skirt,Women's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Skirts,Corporate | Government,Services,ready,,
356,sku:1724WSK,1724WSK,Women's Washable Pencil Skirt,Gloweave,Shell: 77% Polyester/21% Viscose/2% Spandex Lining & Pocketing: 100% Polyester Mechanical Stretch,4 - 24,Women's,Suiting,1,Black | Charcoal | Navy,Black | Charcoal | Navy,Suiting | Skirts | Bottoms,Corporate | Government | Services,Women's Washable Pencil Skirt,Women's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Skirts,Corporate | Government,Services,ready,,
357,sku:20717,20717,Women's Bandless Pencil Skirt,Fashion Biz,"79% Polyester, 17% Viscose, 4% Elastane",4 - 20,Women's,Suiting,1,Black | Marine,Black | Blue,Suiting | Skirts | Bottoms,Corporate | Government | Services,Women's Bandless Pencil Skirt,Women's,False,Suiting,Suiting source set takes precedence over overlapping Bottoms/Sustainable data,Skirts,Corporate | Government,Services,ready,,
